"s","t","mu_weighted","mu_unweighted","simultaneous_lower","simultaneous_upper","simultaneous_excludes_zero"
62,65,0.0106777479578747,0.0191357133622103,-0.0145162323984693,0.0358717283142187,0
52,65.25,-0.0119616607246676,-0.0383463086046288,-0.0379780391662591,0.0140547177169238,0
52.25,65.25,-0.0120986143019204,-0.038721776110524,-0.0383015671835967,0.0141043385797559,0
52.5,65.25,-0.0122275349460281,-0.0390771737854032,-0.0386054676553592,0.0141503977633029,0
52.75,65.25,-0.0123422516199312,-0.0393969496815465,-0.0388730105339475,0.0141885072940851,0
53,65.25,-0.0124365932865699,-0.0396655518512334,-0.0390873871709787,0.0142142005978389,0
53.25,65.25,-0.0123823254985785,-0.039592007945909,-0.0388535921810686,0.0140889411839117,0
53.5,65.25,-0.0122895788765356,-0.0394214559436051,-0.0385196265505534,0.0139404687974823,0
53.75,65.25,-0.0121467035704096,-0.0391245584884507,-0.0380512990130768,0.0137578918722576,0
54,65.25,-0.0119421884778015,-0.0386723192072872,-0.0374146627189769,0.0135302857633739,0
54.25,65.25,-0.011365160193999,-0.0372984110500187,-0.0357267714137925,0.0129964510257945,0
54.5,65.25,-0.0107056356995113,-0.0357165284809605,-0.0338120037278477,0.012400732328825,0
54.75,65.25,-0.00995298641738891,-0.0338999768771062,-0.0316386909347201,0.0117327180999423,0
55,65.25,-0.00909850633542772,-0.0318268877376502,-0.029180063909751,0.0109830512388956,0
55.25,65.25,-0.00813090825064066,-0.029470081958622,-0.0264036521046067,0.0101418356033254,0
55.5,65.25,-0.00705053759579889,-0.026829198605152,-0.0233066426029687,0.00920556741137096,0
55.75,65.25,-0.00585994532753793,-0.0239103625693176,-0.0198975355339782,0.00817764487890235,0
56,65.25,-0.00457034272517059,-0.0207414085213035,-0.0162175016699055,0.00707681621956435,0
56.25,65.25,-0.00319939228865487,-0.0173665796443308,-0.0123454158278281,0.00594663125051833,0
